       tAtm       Prec      rSoil      rRoot     hCritA         rB         hB         ht       tTop       tBot       Ampl       cTop       cBot  RootDepth
        193        0.06         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        194        7.66         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        195        3.66         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        196        1.66         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        197        0.56         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        198        0.16         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        199        1.06         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        200        0.06         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        201        0.46        0.35           0       1e+05           0           0           0           0           0           0           0           0           0
        202        2.66         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        203        9.16         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        204        5.46         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        205       13.06         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        206        0.26         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        207        0.06         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        208        8.76         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        209        6.66         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        210        0.16         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        211        1.36         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        212        4.06         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        213        0.06         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        214        0.06         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        215         1.7         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        216           0         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        217          10         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        218         1.6         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        219         0.7         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        220           0         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        221         2.1         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
